store,MAE
1,406.54167546452624
2,426.2485813450168
3,522.0137840477198
4,941.6967773437494
5,364.7421479096286
6,493.20942646748244
7,883.5467034417237
8,762.7399572423986
9,596.7224714949331
10,583.3621595228033
11,534.241804793075
12,712.062671558277
13,735.7538006756763
14,502.9068240603878
15,489.1160261824326
16,906.3426810599663
17,574.7429595122461
18,631.3386032516889
19,531.671888196791
20,1106.509330130911
21,664.5402370143588
22,411.687981682855
23,456.3281118032088
24,789.57889041385
25,962.6378668707777
26,586.8516020903717
27,862.9929265202703
28,442.913026551942
29,781.50997677365
30,820.8342944995779
31,440.13865867821
32,371.3850163640203
33,716.2598711993223
34,855.2035868876707
35,1335.7174435177355
36,1189.2475849873306
37,585.1156830658771
38,628.4954075168918
39,561.5727143158776
40,565.6691762563339
41,971.262022276182
42,892.7920845650337
43,665.0673432221288
44,475.5947661528716
45,499.72755885768584
46,660.2742952913857
47,642.6118955869932
48,722.9800332559125
49,641.5428103885137
50,400.09423168285406
51,692.0245328336157
52,513.5285050675673
53,371.8114640519424
54,661.2203864020262
55,483.18201013513465
56,934.4728410050666
57,786.8191907728035
58,1040.895494615709
59,596.898166965794
60,1627.1049540751694
61,744.0030550570101
62,594.4337785050668
63,955.3157728040549
64,1013.1794499577707
65,418.36857976140146
66,537.7994615709465
67,739.5987383868251
68,999.4949720228041
69,896.5214051942573
70,490.16829866976275
71,610.0977750211149
72,487.81258577913843
73,497.3753101245777
74,601.6730363175672
75,404.84323532516885
76,690.238188872466
77,724.7715899493239
78,306.32113729940886
79,555.6673550992394
80,839.5679898648657
81,977.5821104307435
82,728.274519636824
83,831.8018963788011
84,2310.773186760979
85,597.4090661337212
86,599.2922627217052
87,428.1930096600504
88,651.7005582242397
89,503.7961623733105
90,753.8986090582769
91,677.5678117081925
92,499.50473764780463
93,587.6512682115704
94,529.0274097339523
95,458.8063766891887
96,576.6985919024494
97,624.3804502744938
98,473.20633182010187
99,526.9365894214535
100,623.8837362753384
101,690.8475110853042
102,716.3579497466222
103,1191.3294182854727
104,1127.1479888091221
105,440.6342377533777
106,1301.2463180954394
107,749.4617557010129
108,1498.048801731419
109,454.68628589526986
110,406.87051968961225
111,469.62059227196016
112,644.6983741554051
